Defeat( ana , ana konjuh )
Defeat( vesnina , elena vesnina )
Defeat( delbonis , federico delbonis )
Defeat( federer , gilles muller )
Defeat( sock , mike bryan )
Defeat( samuel l jackso , beckham )
Defeat( nadal , xbox )
Defeat( genie , eugenie bouchard )
Defeat( kvitova , andrea hlavackova )
Defeat( aliz cornet http://t.co/tnm6kbueh9 , http://t.co/tnm6kbueh9 )
Defeat( caro wozniacki , wozniacki )
Defeat( http://t.co/6863msf34j , novak djokovic http://t.co/6863msf34j )
Defeat( vandeweghe , muguruza )
Defeat( murray , rolaver )
Defeat( querrey , sam querrey )
Defeat( angelique , angelique kerber )
Defeat( barbora zahlavoyastrycova http://t.co/d1nsw1jfxt , wozniacki )
Defeat( serena , kvitova )
Defeat( murray , sharapova )
Defeat( giraldo , santiago giraldo )
Defeat( patrick-smith , john patrick-smith )
Defeat( duckworth , gasquet )
Defeat( federer , serena )
Defeat( kukshkin , mikhail kukshkin )
Defeat( kvitova , eugenie boucha )
Defeat( barbora zahlavova strycov , strycov )
Defeat( ana , ana ivanovic )
Defeat( fed , roger federer )
Defeat( and , djokovic )
Defeat( sampras , becker )
Defeat( jamie , andy )
Defeat( and , andy murray )
Defeat( strycova , elena vesnina )
Defeat( to , toby davis novak djokovic )
Defeat( rafael nadal , rosol )
Defeat( dimitrov , tsonga )
Defeat( murray , bautista agut )
Defeat( middleton , kate middleton )
Defeat( tsong , jo-wilfried tsong )
Defeat( peng shuai , shuai )
Defeat( henman , tim henman )
Defeat( novak , murray )
Defeat( bouchard , eugenie bouchard )
Defeat( roger fe , fe )
Defeat( kudla , denis kudla )
Defeat( kvitova , saforava )
Defeat( djokovic , getty )
Defeat( beckham , victoria beckham )
Defeat( inglot , johanna konta )
Defeat( stepanek , novak djokovic )
Defeat( zarina , zarina diyas )
Defeat( sergiy stakhovsky , sergiy )
Defeat( kyrgios , jiri vesely )
Defeat( simo , eugenie bouchard )
Defeat( dzokovic , roger federer )
Defeat( mikhail kukushkin , kukushkin )
Defeat( dominguez , lourdes dominguez lino )
Defeat( qureshi , bopanna )
Defeat( djokov , federer )
Defeat( dolgopolov , grigor dimitrov )
Defeat( ko , stefan ko )
Defeat( ander , murray )
Defeat( bouchar , bouchard )
Defeat( petra kvitova http://t.co/oi0ycevtpg , http://t.co/oi0ycevtpg )
Defeat( kvitova , eugeni bouchard )
Defeat( noksitupandwackzitova , yelena noksitupandwackzitova )
Defeat( shuai peng http://t.co/txtdqwmzt2 , http://t.co/txtdqwmzt2 )
Defeat( jie , jie zheng )
Defeat( kvitova , graf )
Defeat( aliz cornet http://t.co/rzmwyk1qcd , http://t.co/rzmwyk1qcd )
Defeat( becker , kevin curren )
Defeat( jones , eugenie )
Defeat( richard gasquet , gasquet )
Defeat( king , margaret court )
Defeat( potro , del potro )
Defeat( berdych , tomas berdych )
Defeat( murray , roger )
Defeat( serena williams , williams )
Defeat( pos , bryan )
Defeat( murray , mauresmo )
Defeat( aliz cornet #sebheupdate , #sebheupdate )
Defeat( nadal , kyrgios )
Defeat( federer , gulbis )
Defeat( schepper , de schepper )
Defeat( federer , barrie #djokovic )
Defeat( birotra , j. birotra )
Defeat( dancevic , ivo karlovic )
Defeat( vera zvonareva , zvonareva )
Defeat( im , dimitrov )
Defeat( gonzalez , kohlschreiber )
Defeat( radwans , agnieszka radwans )
Defeat( yanina wickmeyer http://t.co/z6fiitcfav , http://t.co/z6fiitcfav )
Defeat( petra kvitova http://t.co/voph72kpuj , http://t.co/voph72kpuj )
Defeat( aliz cornet http://t.co/02dmxug2x6 , http://t.co/02dmxug2x6 )
Defeat( petkovic , andrea petkovic )
Defeat( rafael nad , darcis )
Defeat( to , eugenie bouchard )
Defeat( raonic , roger federer )
Defeat( tsonga , novak djokovic )
Defeat( djokovic , roger feder )
Defeat( sofiaorden , eugenie bouchard sofiaorden )
Defeat( dellbarty , vincirrani )
Defeat( shuai peng http://t.co/iaztaazxie , http://t.co/iaztaazxie )
Defeat( ivanovic , sabine lisicki )
Defeat( wawrinka , gasquet )
Defeat( aliz cornet http://t.co/sops9n9rys , http://t.co/sops9n9rys )
Defeat( raonic , sharapova )
Defeat( smitkova , lucie )
Defeat( barbora zahlavova strycova http://t.co/xpbs3wqdmn , http://t.co/xpbs3wqdmn )
Defeat( broady , ward )
Defeat( anderson , novak djokovic )
Defeat( aliz cornet http://t.co/vpifph1dbn , http://t.co/vpifph1dbn )
Defeat( nieminen , john isner )
Defeat( gilles mller , gilles )
Defeat( broady , naomi broady )
Defeat( grigor dimitrov #wimbledon , #wimbledon )
Defeat( kyrgios , derek jeter )
Defeat( wawrinka , lopez )
Defeat( federer , breitbart )
Defeat( safaro , lucie safaro )
Defeat( djokovic , christina macfarlane )
Defeat( mahut , isner )
Defeat( paes , sania mirza )
Defeat( francesca , francesca schiavone )
Defeat( bouchard , getty )
Defeat( torro-flor , maria-theresa torro-flor )
Defeat( judy murray , andy )
Defeat( tsonga , grigor dimtro )
Defeat( agnieszka radwanska , radwanska )
Defeat( murray , djokovic )
Defeat( andy , grigor #dimitrov )
Defeat( raonic , townsvi )
Defeat( barrie , eugenie bouchard )
Defeat( roger , djokovic )
Defeat( rafter , novak )
Defeat( sharapova , angelique kerber )
Defeat( makarova , radwanska )
Defeat( williams , serena williams )
Defeat( aliz cornet http://t.co/2ngq3zv9ln , http://t.co/2ngq3zv9ln )
Defeat( maria , serena )
Defeat( wickmayer , sam )
Defeat( razzano , virginie razzano )
